FID,HotSpringU,Name,Label,OtherIdent,Source,SourceURI,FeatureTyp,OtherLocat,County,State,PLSS_Merid,Township,Range,Section,SectionPar,LatDegree,LongDegree,SRS,Observatio,Temperatur,Temperat_1,TempMeasur,TempMeas_1,Flow,FlowUnits,FlowMeasur,FlowMeas_1,Classifica,RelatedWat,DataEntryS,RelatedRes,TOPO100K,QUAD_NAME,WKT
610,OR_Lower Birch Creek Hot Springs_DOGAMI:ML-103,Lower Birch Creek Hot Springs,Lower Birch Creek Hot Springs,ML-103,"U.S. Geological Survey (USGS), 2006, unpublished records.", ,hot, ,Malheur,Oregon,Willamette,043S,043E,7,CDC,43.22167,-117.513061,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/ML-103,152.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/ML-103.pdf,Mahogany Mountain,The Hole in the Ground,POINT (2108299.1831802609 550959.66992595443)
611,OR_Greeley Bar Hot Springs_DOGAMI:ML-105,Greeley Bar Hot Springs,Greeley Bar Hot Springs,ML-105,"U.S. Geological Survey (USGS), 2006, unpublished records.", ,hot, ,Malheur,Oregon,Willamette,027S,042E,23,DBD,43.20806,-117.545,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/ML-105,131,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/ML-105.pdf,Mahogany Mountain,The Hole in the Ground,POINT (2099970.2631693929 545694.54447725625)
612,OR_Rock Cabin Spring No 2_DOGAMI:ML-106,Rock Cabin Spring No 2,Rock Cabin Spring No 2,ML-106,"U.S. Geological Survey (USGS), 2006, unpublished records.", ,warm, ,Malheur,Oregon,Willamette,017S,042E,26,ABC,44.066006,-117.535935,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/ML-106,77.9,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/ML-106.pdf,Brogan,Swede Flat,POINT (2091099.5116405562 858261.57676165411)
613,OR_Lower Lake Owyhee Hot Spring_DOGAMI:ML-107,Lower Lake Owyhee Hot Spring,Lower Lake Owyhee Hot Spring,ML-107,"U.S. Geological Survey (USGS), 2006, unpublished records.", ,warm, ,Malhuer,Oregon,Willamette,026S,044E,16,BCB,43.3025,-117.347781,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/ML-107,117.5,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/ML-107.pdf,Mahogany Mountain,Rooster Comb,POINT (2151191.1614843346 582044.0514952438)
614,OR_Hot Springs_DOGAMI:ML-108,Hot Springs,Hot Springs,ML-108,National Hydrology Data Set: U.S. Geological Survey.,Http://nhd.usgs.gov/index.html,thermal, ,Malheur,Oregon,Willamette,018S,043E,9, ,44.023166,-117.460799,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/ML-108,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/ML-108.pdf,Brogan,Hope Butte,POINT (2111409.1955807954 843380.49400590477)
615,OR_Luce Hot Springs_DOGAMI:ML-109,Luce Hot Springs,Luce Hot Springs,ML-109,National Hydrology Data Set: U.S. Geological Survey.,Http://nhd.usgs.gov/index.html,thermal, ,Malheur,Oregon,Willamette,024S,037E,20, ,43.469189,-118.202311,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/ML-109,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/ML-109.pdf,Malheur Lake,McEwen Butte,POINT (1922158.7414393227 635223.53431483998)
616,OR_Breitenbush Hot Springs 1 (Castle Spring)_DOGAMI:MR-004a,Breitenbush Hot Springs 1 (Castle Spring),Breitenbush Hot Springs 1 (Castle Spring),MR-004a,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Western Cascades,Marion,Oregon,Willamette,009S,007E,20,AC,44.78165,-121.976982,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/MR-004a,197.6,Farenheit,spot measurement,correctness date is time of publication by default,3400,l/min,spot measurement,correctness date is time of publication by default,2,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/MR-004a.pdf,Madras,Breitenbush Hot Springs,POINT (928915.29112315679 1108493.9555077399)
617,OR_Breitenbush Hot Springs (CO2 fumaroles?)_DOGAMI:MR-004b,Breitenbush Hot Springs (CO2 fumaroles?),Breitenbush Hot Springs (CO2 fumaroles?),MR-004b,directly scribed from topographic  map where the geothermal feature is found., ,thermal,Western Cascades,Marion,Oregon,Willamette,009S,007E,20,AC,44.781092,-121.976853,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/MR-004b,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/MR-004b.pdf,Madras,Breitenbush Hot Springs,POINT (928945.11736227793 1108289.9835898255)
618,OR_Breitenbush Hot Springs (Million Dollar Spring?)_DOGAMI:MR-004c,Breitenbush Hot Springs (Million Dollar Spring?),Breitenbush Hot Springs (Million Dollar Spring?),MR-004c,directly scribed from topographic  map where the geothermal feature is found., ,thermal,Western Cascades,Marion,Oregon,Willamette,009S,007E,20,AC,44.781029,-121.977389,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/MR-004c,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/MR-004c.pdf,Madras,Breitenbush Hot Springs,POINT (928805.57232238539 1108269.5258958228)
619,OR_Breitenbush Hot Springs_DOGAMI:MR-004d,Breitenbush Hot Springs,Breitenbush Hot Springs,MR-004d,directly scribed from topographic  map where the geothermal feature is found., ,thermal,Western Cascades,Marion,Oregon,Willamette,009S,007E,20,AC,44.781206,-121.977726,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/MR-004d,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/MR-004d.pdf,Madras,Breitenbush Hot Springs,POINT (928719.25688084285 1108335.6099801592)
620,OR_Breitenbush Hot Springs_DOGAMI:MR-004e,Breitenbush Hot Springs,Breitenbush Hot Springs,MR-004e,directly scribed from topographic  map where the geothermal feature is found., ,thermal,Western Cascades,Marion,Oregon,Willamette,009S,007E,20,AC,44.780943,-121.979434,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/MR-004e,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/MR-004e.pdf,Madras,Breitenbush Hot Springs,POINT (928274.17759153387 1108247.7417065832)
621,OR_Breitenbush Hot Springs_DOGAMI:MR-004f,Breitenbush Hot Springs,Breitenbush Hot Springs,MR-004f,directly scribed from topographic  map where the geothermal feature is found., ,thermal,Western Cascades,Marion,Oregon,Willamette,009S,007E,20,AC,44.78251,-121.976603,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/MR-004f,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/MR-004f.pdf,Madras,Breitenbush Hot Springs,POINT (929019.30649493274 1108805.6227871126)
622,OR_Breitenbush Hot Springs  (Large Pool?)_DOGAMI:MR-004g,Breitenbush Hot Springs  (Large Pool?),Breitenbush Hot Springs  (Large Pool?),MR-004g,directly scribed from topographic  map where the geothermal feature is found., ,thermal,Western Cascades,Marion,Oregon,Willamette,009S,007E,20,AC,44.781044,-121.976304,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/MR-004g,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/MR-004g.pdf,Madras,Breitenbush Hot Springs,POINT (929087.30908043624 1108269.9262878334)
623,OR_Corbett Warm Spring_DOGAMI:MU-001,Corbett Warm Spring,Corbett Warm Spring,MU-001,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,Western Cascades,Multnomah,Oregon,Willamette,001N,004E,27,ADD,45.537271,-122.296695,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/MU-001,73.4,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/MU-001.pdf,Vancouver,Washougal,POINT (851957.87501567288 1385565.0674951905)
624,OR_Camp Collins Warm Springs_DOGAMI:MU-003,Camp Collins Warm Springs,Camp Collins Warm Springs,MU-003,USGSunpub2006, ,warm,Western Cascades,Multnomah,Oregon,Willamette,001S,004E,10,BAA,45.503936,-122.302747,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/MU-003,84.2,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/MU-003.pdf,Vancouver,Washougal,POINT (850140.49851525517 1373446.6547667589)
625,OR_Warm Spring_DOGAMI:SH-001,Warm Spring,Warm Spring,SH-001,National Hydrology Data Set: U.S. Geological Survey.,Http://nhd.usgs.gov/index.html,thermal, ,Sherman,Oregon,Willamette,003S,018E,17, ,45.304119,-120.604303,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/SH-001,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/SH-001.pdf,Burns,Indian Cove,POINT (1285503.0564234366 1295532.237072625)
626,OR_Hidaway Springs_DOGAMI:UM-005,Hidaway Springs,Hidaway Springs,UM-005,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,La Grande,Umatilla,Oregon,Willamette,005S,033E,17,DDD,45.128769,-118.738736,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UM-005,100.4,Farenheit,spot measurement,correctness date is time of publication by default,570,l/min,spot measurement,correctness date is time of publication by default,4, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UM-005.pdf,La Grande,Lehman Springs,POINT (1766838.7412761657 1236460.3757312284)
627,OR_Bingham Springs_DOGAMI:UM-006,Bingham Springs,Bingham Springs,UM-006,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Umatilla,Oregon,Willamette,003N,037E,18,AAD,45.740927,-118.233779,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UM-006,93.2,Farenheit,spot measurement,correctness date is time of publication by default,300,l/min,spot measurement,correctness date is time of publication by default,5,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UM-006.pdf,Pendleton,Bingham Springs,POINT (1890954.694253488 1462780.1932005843)
628,OR_Lehman Springs_DOGAMI:UM-007,Lehman Springs,Lehman Springs,UM-007,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot, ,Umatilla,Oregon,Willamette,005S,033E,12,ADB,45.150884,-118.66035,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UM-007,141.8,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UM-007.pdf,La Grande,Lehman Springs,POINT (1786882.5202064512 1244964.4277251803)
629,OR_Warm Spring_DOGAMI:UN-003,Warm Spring,Warm Spring,UN-003,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,thermal, ,Union,Oregon,Willamette,001S,039E,6, ,45.500848,-117.97406,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-003,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-003.pdf,Wallowa,Elgin,POINT (1959939.7244978757 1377208.8112733925)
630,OR_Meadow Creek Warm Spring_DOGAMI:UN-011,Meadow Creek Warm Spring,Meadow Creek Warm Spring,UN-011,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Union,Oregon,Willamette,003S,034E,27,CDA,45.269523,-118.542224,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-011,77,Farenheit,spot measurement,correctness date is time of publication by default,68,l/min,spot measurement,correctness date is time of publication by default,5, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-011.pdf,La Grande,Bally Mountain,POINT (1816316.557964308 1288910.6070684951)
631,OR_Hunters Spring_DOGAMI:UN-012,Hunters Spring,Hunters Spring,UN-012,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,La Grande,Union,Oregon,Willamette,003S,034E,35,AB,45.259843,-118.516055,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-012,87.8,Farenheit,spot measurement,correctness date is time of publication by default,38,l/min,spot measurement,correctness date is time of publication by default,5,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-012.pdf,La Grande,Bally Mountain,POINT (1823137.0357253235 1285544.0853693548)
632,OR_Warm Creek Spring_DOGAMI:UN-017,Warm Creek Spring,Warm Creek Spring,UN-017,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,Hot Lake,Union,Oregon,Willamette,003S,040E,9,CAC,45.315318,-117.828754,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-017,80.6,Farenheit,spot measurement,correctness date is time of publication by default,950,l/min,spot measurement,correctness date is time of publication by default,4, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-017.pdf,Enterprise,Cove,POINT (1999381.0071386357 1310775.8192638983)
633,OR_Grange Hall Spring_DOGAMI:UN-018,Grange Hall Spring,Grange Hall Spring,UN-018,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,Hot Lake,Union,Oregon,Willamette,003S,040E,9,DDD,45.314728,-117.829335,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-018,78.8,Farenheit,spot measurement,correctness date is time of publication by default,55,l/min,spot measurement,correctness date is time of publication by default,5, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-018.pdf,Enterprise,Cove,POINT (1999238.6233410682 1310555.9566756771)
634,OR_Hoofnagle Warm Spring_DOGAMI:UN-019,Hoofnagle Warm Spring,Hoofnagle Warm Spring,UN-019,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,Hot Lake,Union,Oregon,Willamette,003S,040E,10,DCB,45.315424,-117.802058,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-019,75.2,Farenheit,spot measurement,correctness date is time of publication by default,20,l/min,spot measurement,correctness date is time of publication by default,6, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-019.pdf,Enterprise,Cove,POINT (2006243.4588194322 1311038.9536577142)
635,OR_Cove Hot Springs_DOGAMI:UN-020,Cove Hot Springs,Cove Hot Springs,UN-020,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Union,Oregon,Willamette,003S,040E,22,BBC,45.293393,-117.807475,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-020,84.2,Farenheit,spot measurement,correctness date is time of publication by default,850,l/min,spot measurement,correctness date is time of publication by default,4,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-020.pdf,Enterprise,Cove,POINT (2005114.0925749086 1302965.0347369656)
636,OR_Girdner Warm Spring_DOGAMI:UN-021,Girdner Warm Spring,Girdner Warm Spring,UN-021,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Union,Oregon,Willamette,003S,040E,27,BCC,45.275218,-117.80509,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-021,71.6,Farenheit,spot measurement,correctness date is time of publication by default,75,l/min,spot measurement,correctness date is time of publication by default,5, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-021.pdf,Enterprise,Cove,POINT (2005944.9876530641 1296362.1987343864)
637,OR_Starkey Warm Spring_DOGAMI:UN-022,Starkey Warm Spring,Starkey Warm Spring,UN-022,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Union,Oregon,Willamette,004S,036E,31,CB,45.169845,-118.356053,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-022,89.6,Farenheit,spot measurement,correctness date is time of publication by default,30,l/min,spot measurement,correctness date is time of publication by default,6, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-022.pdf,La Grande,Little Beaver Creek,POINT (1865179.7299820513 1253778.9870021569)
638,OR_Courtwright Hot Spring_DOGAMI:UN-023,Courtwright Hot Spring,Courtwright Hot Spring,UN-023,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot, ,Union,Oregon,Willamette,004S,039E,4,CCB,45.241051,-117.94885,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-023,176,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-023.pdf,Enterprise,Craig Mountain,POINT (1969343.850826456 1282729.1156095269)
639,OR_Hot Lake Springs_DOGAMI:UN-025a,Hot Lake Springs,Hot Lake Springs,UN-025a,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot,Hot Lake,Union,Oregon,Willamette,004S,039E,5,DBD,45.243571,-117.959483,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-025a,185,Farenheit,spot measurement,correctness date is time of publication by default,5700,l/min,spot measurement,correctness date is time of publication by default,2,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-025a.pdf,Enterprise,Craig Mountain,POINT (1966577.958031931 1283562.5304119524)
640,OR_Springs (hot)_DOGAMI:UN-025b,Springs (hot),Springs (hot),UN-025b,directly scribed from topographic  map where the geothermal feature is found., ,thermal, ,Union,Oregon,Willamette,004S,039E,4,CBB,45.241893,-117.952547,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-025b,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-025b.pdf,Enterprise,Craig Mountain,POINT (1968382.5352655421 1283006.3891285427)
641,OR_Duck Pond Spring_DOGAMI:UN-027,Duck Pond Spring,Duck Pond Spring,UN-027,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,Hot Lake,Union,Oregon,Willamette,004S,039E,15,DBC,45.213244,-117.922169,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-027,78.8,Farenheit,spot measurement,correctness date is time of publication by default,55,l/min,spot measurement,correctness date is time of publication by default,5, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-027.pdf,Enterprise,Craig Mountain,POINT (1976531.0865289865 1272810.6825383534)
642,OR_Union Junction Warm Spring 1_DOGAMI:UN-028,Union Junction Warm Spring 1,Union Junction Warm Spring 1,UN-028,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,Hot Lake,Union,Oregon,Willamette,004S,039E,22,DAB,45.204874,-117.911733,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/UN-028,98.6,Farenheit,spot measurement,correctness date is time of publication by default,55,l/min,spot measurement,correctness date is time of publication by default,5, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/UN-028.pdf,Enterprise,Craig Mountain,POINT (1979315.2696463731 1269845.232228254)
